"trip_id","duration","start_time","end_time","start_station","start_lat","start_lon","end_station","end_lat","end_lon","bike_id","plan_duration","trip_route_category","passholder_type","bike_type"
112536773,7,"2019-01-01 00:07:00","2019-01-01 00:14:00",3046,34.052872,-118.247490,3051,34.045422,-118.253517,"06468",1,"One Way","Walk-up","standard"
112536772,6,"2019-01-01 00:08:00","2019-01-01 00:14:00",3046,34.052872,-118.247490,3051,34.045422,-118.253517,12311,1,"One Way","Walk-up","standard"
112538689,32,"2019-01-01 00:18:00","2019-01-01 00:50:00",3030,34.051941,-118.243530,3075,34.042110,-118.256187,"05992",1,"One Way","Walk-up","standard"
112538688,30,"2019-01-01 00:20:00","2019-01-01 00:50:00",3030,34.051941,-118.243530,3075,34.042110,-118.256187,"05860",1,"One Way","Walk-up","standard"
112538687,28,"2019-01-01 00:22:00","2019-01-01 00:50:00",3030,34.051941,-118.243530,3075,34.042110,-118.256187,"06006",1,"One Way","Walk-up","standard"
112538686,28,"2019-01-01 00:23:00","2019-01-01 00:51:00",3030,34.051941,-118.243530,3075,34.042110,-118.256187,"06304",1,"One Way","Walk-up","standard"
112538685,27,"2019-01-01 00:24:00","2019-01-01 00:51:00",3030,34.051941,-118.243530,3075,34.042110,-118.256187,"05846",1,"One Way","Walk-up","standard"
112537730,7,"2019-01-01 00:27:00","2019-01-01 00:34:00",3029,34.048851,-118.246422,3038,34.046822,-118.248352,12364,1,"One Way","Walk-up","standard"
112538445,19,"2019-01-01 00:27:00","2019-01-01 00:46:00",3030,34.051941,-118.243530,3031,34.044701,-118.252441,"06394",1,"One Way","Walk-up","standard"
112537729,6,"2019-01-01 00:28:00","2019-01-01 00:34:00",3029,34.048851,-118.246422,3038,34.046822,-118.248352,12204,1,"One Way","Walk-up","standard"
112538443,18,"2019-01-01 00:28:00","2019-01-01 00:46:00",3030,34.051941,-118.243530,3031,34.044701,-118.252441,12225,1,"One Way","Walk-up","standard"
112537728,5,"2019-01-01 00:29:00","2019-01-01 00:34:00",3029,34.048851,-118.246422,3038,34.046822,-118.248352,"06718",1,"One Way","Walk-up","standard"
112538440,17,"2019-01-01 00:29:00","2019-01-01 00:46:00",3030,34.051941,-118.243530,3031,34.044701,-118.252441,"06704",1,"One Way","Walk-up","standard"
112538439,15,"2019-01-01 00:30:00","2019-01-01 00:45:00",3030,34.051941,-118.243530,3031,34.044701,-118.252441,12075,1,"One Way","Walk-up","standard"
112538438,7,"2019-01-01 00:41:00","2019-01-01 00:48:00",3022,34.046070,-118.233093,3022,34.046070,-118.233093,"06584",1,"Round Trip","Walk-up","standard"
112539166,19,"2019-01-01 00:45:00","2019-01-01 01:04:00",3046,34.052872,-118.247490,4220,34.074829,-118.258728,"05944",1,"One Way","Walk-up","standard"
112539165,18,"2019-01-01 00:46:00","2019-01-01 01:04:00",3046,34.052872,-118.247490,4220,34.074829,-118.258728,"05782",1,"One Way","Walk-up","standard"
112538919,4,"2019-01-01 00:53:00","2019-01-01 00:57:00",3064,34.046810,-118.256981,3008,34.046612,-118.262733,"06591",1,"One Way","Walk-up","standard"
112538920,6,"2019-01-01 00:53:00","2019-01-01 00:59:00",3069,34.050880,-118.248253,3048,34.041691,-118.235352,12032,30,"One Way","Monthly Pass","standard"
112544277,80,"2019-01-01 01:29:00","2019-01-01 02:49:00",4211,33.984928,-118.469963,4211,33.984928,-118.469963,12244,1,"Round Trip","Walk-up","standard"
112540639,4,"2019-01-01 01:31:00","2019-01-01 01:35:00",3027,34.049980,-118.247162,3046,34.052872,-118.247490,"05819",1,"One Way","Walk-up","standard"
